osm_id,name,group,segment,address,postal_code,city,country,lat,lng,phone,email,website
node/9717113131,Weichberger Fliesen,Boden & Fliesen,Fliesenleger,"Heinestraße 8, 1020 Wien",1020,Wien,AT,48.2213796,16.3836377,,,
node/9717113132,Höllerbauer GmbH,Sanitär,Sanitär- / Klempner,"Glockengasse 13, 1020 Wien",1020,Wien,AT,48.2185663,16.3820019,,,
node/9831406105,Teufel,Elektrik,Techniker für Haushaltsgeräte,"Mariahilfer Straße 119, 1060 Wien",1060,Wien,AT,48.1961711,16.3421552,,,
way/787971239,Zweiradtechnik,Fahrzeuge,Motorradwerkstatt,"Gewerbegebiet 51, 6100 Reith bei Seefeld",6100,Reith bei Seefeld,AT,47.3202238,11.1994388,+43 664 3446696,zweiradtechnik@ducati-tirol.at,http://www.zweiradtechnik.at
way/288972278,Zweirad grabner,Fahrzeuge,Motorradwerkstatt,"Salzburger Straße 29, 5163 Mattsee",5163,Mattsee,AT,47.9660836,13.1014551,+43 6217 6333,zweirad.grabner@sbg.at,http://www.zweirad-grabner.at
node/9253040593,ZI Motors,Fahrzeuge,KFZ-Werkstatt,"Linzer Straße 80, 3003 Gablitz",3003,Gablitz,AT,48.2293687,16.1541951,+43 660 1333383,zimotors@outlook.com,https://www.zi-motors.com
node/13194284075,Bikepalast,Fahrzeuge,Fahrradwerkstatt,,,,AT,47.3818212,11.8326509,+43 5288 64733,zillertal@bikepalast.com,https://www.bikepalast.com/
node/8779965726,RVP Ingenieurbüro,Bauen & Renovieren,Architekt,"Raiffeisenstraße 30, 8010 Graz",8010,Graz,AT,47.053892,15.4461078,+43 316 33 80 70,zentrale@rvp.at,https://rvp.at/
node/2418253125,Baufirma Josef Lux und Sohn Baumeister Ges.m.b.H.,Bauen & Renovieren,Bauunternehmen,"Kirchengasse 7, 3170 Hainfeld",3170,Hainfeld,AT,48.0352003,15.7703335,+43 2764 2695,zentrale@luxbau.at,https://www.luxbau.at/
node/9087524839,Maschinenring Region Amstetten,Garten & Außenbereich,Garten- & Landschaftsbau,"Ybbsitzerstraße 68, 3340 Waidhofen an der Ybbs",3340,Waidhofen an der Ybbs,AT,47.9569532,14.7819598,+43 59060 384,ybbstal@maschinenring.at,https://www.maschinenring.at/maschinenring-region-amstetten/kontakt
node/3934886873,KFZ Technik Wukovits,Fahrzeuge,KFZ-Werkstatt,"Kaiser Josef-Straße 64, 3002 Purkersdorf",3002,Purkersdorf,AT,48.202803,16.169375,+43 650 6346700,wukovits@gmx.at,https://www.wukovits.co.at/
way/153582926,Radcult,Fahrzeuge,Fahrradwerkstatt,"Kellhofstraße 6, 6922 Wolfurt",6922,Wolfurt,AT,47.4732836,9.7521129,+43 5574 71342,wolfurt@radcult.at,http://radcult.eu
way/153691719,Karg Blumen,Garten & Außenbereich,Garten- & Landschaftsbau,"Grenzstraße 44, 6922 Wolfurt",6922,Wolfurt,AT,47.48308,9.7384367,+43 5574 7136930,wolfurt@blumentreff-karg.at,https://www.blumentreff-karg.at/
node/3147195958,Fahrradtechnik Spatt,Fahrzeuge,Fahrradwerkstatt,"Gleinkergasse 16, 4400 Steyr",4400,Steyr,AT,48.0443375,14.4187138,+436504063369,wolfgang@fahrradtechnik-spatt.at,https://www.fahrradtechnik-spatt.at/
node/12811274534,ChipsAway,Fahrzeuge,KFZ-Werkstatt,"Lilienthalgasse 6, 1030 Wien",1030,Wien,AT,48.1803091,16.3951959,,,
node/1729252918,Dorfinger,Fahrzeuge,Fahrradwerkstatt,"Galvanigasse 19, 1210 Wien",1210,Wien,AT,48.2638194,16.3936586,,wolfgang.dorfinger@chello.at,https://www.2rad-dorfinger.at/
way/38156682,ARBÖ Ottakring,Fahrzeuge,KFZ-Werkstatt,"Gablenzgasse 124, 1160 Wien",1160,Wien,AT,48.207558,16.3120404,+43 50 1232904,,
way/44336156,"TT Reifen, Reifenhandel und Autoservice e.U.",Fahrzeuge,KFZ-Werkstatt,"Leopold-Ernst-Gasse 5-7, 1170 Wien",1170,Wien,AT,48.2208885,16.3357809,,,
way/88429525,Schwandl,Fahrzeuge,KFZ-Werkstatt,"Julius-Payer-Gasse 2, 1220 Wien",1220,Wien,AT,48.2333826,16.4209429,,,
way/106324024,ARBÖ Brigittenau,Fahrzeuge,KFZ-Werkstatt,"Pasettistraße 58, 1200 Wien",1200,Wien,AT,48.2355236,16.3834218,+43 5 0123 2905,,
node/12015280869,Paar Spenglerei- Dachdeckerei,Dacharbeiten,Dachdecker,"Hauptstraße 51, 7412 Wolfau",7412,Wolfau,AT,47.256606,16.0892988,+43 664 4305289,wolfau@paar.co.at,https://www.paar.co.at/
node/10804402534,Elektro Franz Wolf,Elektrik,Elektriker,"Landesstraße 6, Völs",,Völs,AT,47.2552547,11.3255022,+43 664 320 1162,wolf.elektrotechnik@aon.at,http://www.wolf-technik.at
way/172204148,Paul Magyar,Dacharbeiten,Dachdecker,"Nordwestbahnstraße 75, 1200 Wien",1200,Wien,AT,48.2321508,16.3774754,,,
node/5508335750,Windsor,Bauen & Renovieren,Innenarchitekt / Raumausstatter,"Wilhelm-Exner-Gasse 30, 1090 Wien",1090,Wien,AT,48.2245469,16.3526094,+43 1 3303405,wohnfuehlen@windsor.at,https://www.windsor.at/
node/5572200548,Wollmann,Bauen & Renovieren,Innenarchitekt / Raumausstatter,,,,AT,47.448142,12.1583001,+43 5335 2343,wohnen@wollmann.at,https://www.wollmann.at
node/5557299095,Bikepalast,Fahrzeuge,Fahrradwerkstatt,,,,AT,47.4896635,12.0743863,+43 5332 22830,woergl@bikepalast.com,http://web.bikepalast.com/
way/92144422,Armstark,Sanitär,Sanitär- / Klempner,"Innsbrucker Straße 24, 6300 Wörgl",6300,Wörgl,AT,47.4840069,12.0612743,+43 5332 90501-0,woergl@armstark.com,https://www.armstark.com/
